word1,word2,count
master,tournament,442
tournament,master,415
master,golf,349
golf,master,321
nba,basketball,299
basketball,nba,278
themasters,golf,184
golf,themasters,179
baseball,game,121
tournament,golf,105
game,baseball,104
golf,tournament,100
master,themasters,100
themasters,master,77
nfl,game,59
game,nba,57
nba,game,56
nba,nfl,55
game,nfl,53
nfl,nba,51
basketball,game,50
mlb,nba,50
game,basketball,48
nba,mlb,47
game,golf,41
golf,game,40
mlb,nfl,38
tournament,themasters,36
baseball,mlb,35
mlb,baseball,35
nfl,mlb,35
mlb,game,31
basketball,baseball,28
baseball,basketball,27
game,mlb,27
basketball,tournament,20
game,master,19
master,game,18
themasters,tournament,17
nba,baseball,16
nfl,basketball,16
basketball,nfl,15
tournament,basketball,15
baseball,nba,14
baseball,golf,13
golf,baseball,12
game,tournament,11
tournament,game,11
mlb,master,10
nba,master,10
game,themasters,9
baseball,tournament,8
tournament,baseball,8
master,mlb,7
master,nba,7
mlb,basketball,7
themasters,game,7
baseball,nfl,6
basketball,golf,6
nba,tournament,6
basketball,mlb,5
golf,basketball,5
nfl,baseball,5
themasters,nba,5
tournament,nba,5
baseball,master,4
master,baseball,4
nfl,themasters,4
themasters,nfl,4
basketball,master,3
golf,nfl,3
master,basketball,3
mlb,themasters,3
nba,themasters,3
nfl,golf,3
themasters,mlb,3
golf,mlb,1
golf,nba,1
master,nfl,1
mlb,golf,1
mlb,tournament,1
nfl,master,1
tournament,mlb,1
